Date,00:00:00 - 00:15:00,00:15:00 - 00:30:00,00:30:00 - 00:45:00,00:45:00 - 01:00:00,01:00:00 - 01:15:00,01:15:00 - 01:30:00,01:30:00 - 01:45:00,01:45:00 - 02:00:00,02:00:00 - 02:15:00,02:15:00 - 02:30:00,02:30:00 - 02:45:00,02:45:00 - 03:00:00,03:00:00 - 03:15:00,03:15:00 - 03:30:00,03:30:00 - 03:45:00,03:45:00 - 04:00:00,04:00:00 - 04:15:00,04:15:00 - 04:30:00,04:30:00 - 04:45:00,04:45:00 - 05:00:00,05:00:00 - 05:15:00,05:15:00 - 05:30:00,05:30:00 - 05:45:00,05:45:00 - 06:00:00,06:00:00 - 06:15:00,06:15:00 - 06:30:00,06:30:00 - 06:45:00,06:45:00 - 07:00:00,07:00:00 - 07:15:00,07:15:00 - 07:30:00,07:30:00 - 07:45:00,07:45:00 - 08:00:00,08:00:00 - 08:15:00,08:15:00 - 08:30:00,08:30:00 - 08:45:00,08:45:00 - 09:00:00,09:00:00 - 09:15:00,09:15:00 - 09:30:00,09:30:00 - 09:45:00,09:45:00 - 10:00:00,10:00:00 - 10:15:00,10:15:00 - 10:30:00,10:30:00 - 10:45:00,10:45:00 - 11:00:00,11:00:00 - 11:15:00,11:15:00 - 11:30:00,11:30:00 - 11:45:00,11:45:00 - 12:00:00,12:00:00 - 12:15:00,12:15:00 - 12:30:00,12:30:00 - 12:45:00,12:45:00 - 13:00:00,13:00:00 - 13:15:00,13:15:00 - 13:30:00,13:30:00 - 13:45:00,13:45:00 - 14:00:00,14:00:00 - 14:15:00,14:15:00 - 14:30:00,14:30:00 - 14:45:00,14:45:00 - 15:00:00,15:00:00 - 15:15:00,15:15:00 - 15:30:00,15:30:00 - 15:45:00,15:45:00 - 16:00:00,16:00:00 - 16:15:00,16:15:00 - 16:30:00,16:30:00 - 16:45:00,16:45:00 - 17:00:00,17:00:00 - 17:15:00,17:15:00 - 17:30:00,17:30:00 - 17:45:00,17:45:00 - 18:00:00,18:00:00 - 18:15:00,18:15:00 - 18:30:00,18:30:00 - 18:45:00,18:45:00 - 19:00:00,19:00:00 - 19:15:00,19:15:00 - 19:30:00,19:30:00 - 19:45:00,19:45:00 - 20:00:00,20:00:00 - 20:15:00,20:15:00 - 20:30:00,20:30:00 - 20:45:00,20:45:00 - 21:00:00,21:00:00 - 21:15:00,21:15:00 - 21:30:00,21:30:00 - 21:45:00,21:45:00 - 22:00:00,22:00:00 - 22:15:00,22:15:00 - 22:30:00,22:30:00 - 22:45:00,22:45:00 - 23:00:00,23:00:00 - 23:15:00,23:15:00 - 23:30:00,23:30:00 - 23:45:00,23:45:00 - 00:00:00
2020-08-01,6,4,4,2,6,9,9,5,5,8,10,0,4,9,0,5,8,4,8,2,3,7,4,7,9,4,10,9,8,6,5,2,2,0,7,7,1,2,8,5,1,6,8,2,4,1,3,5,5,6,9,6,6,9,9,8,8,8,10,2,1,0,9,7,9,8,5,0,8,7,2,5,1,9,1,7,4,6,5,5,10,8,9,0,4,0,6,5,9,0,9,8,6,6,0,7
2020-08-02,7,3,5,5,9,2,1,9,7,8,10,4,8,5,6,1,6,1,1,4,1,10,5,4,1,4,5,9,5,8,0,5,2,3,2,1,0,0,6,1,5,1,8,6,10,4,4,3,5,3,5,0,7,2,1,10,0,4,8,6,3,3,10,9,4,10,2,1,5,0,9,6,9,8,9,10,9,4,2,2,3,10,0,8,2,0,8,8,8,7,0,9,9,5,5,6
2020-08-03,9,1,6,1,6,7,1,9,7,9,9,4,2,3,7,10,3,7,1,3,8,1,1,3,3,9,2,8,3,2,7,10,2,3,3,9,5,3,10,10,7,6,2,4,8,10,7,3,9,2,8,10,1,8,5,6,10,9,4,1,9,9,4,3,2,7,3,8,3,9,2,10,4,6,4,3,7,10,10,2,10,10,4,7,10,6,3,6,3,3,2,10,9,10,2,7
2020-08-04,10,6,7,10,7,5,6,9,4,4,6,6,4,9,8,6,6,3,10,2,10,7,7,10,2,8,9,5,3,1,3,6,7,6,3,10,3,2,7,2,1,0,9,4,7,7,5,2,7,5,3,9,2,4,6,7,3,8,5,2,6,5,3,1,8,8,1,5,9,5,5,9,1,8,7,1,9,2,6,7,1,10,7,10,8,8,1,5,4,0,8,2,8,3,2,5
2020-08-05,5,0,1,1,8,5,6,8,5,9,7,5,3,6,10,1,9,0,7,5,3,9,3,9,1,10,8,3,3,6,3,5,2,9,5,7,4,2,8,9,10,3,0,2,6,8,0,0,10,9,1,2,9,0,4,4,0,2,9,7,5,8,9,1,7,1,6,5,3,2,7,2,5,8,5,0,1,1,4,9,8,5,0,9,2,5,6,1,6,10,3,3,10,10,8,5
2020-08-06,4,5,6,6,0,0,3,2,5,10,4,7,1,5,0,9,8,10,6,0,5,2,6,6,3,9,9,4,10,5,2,3,6,9,9,8,4,5,9,6,5,5,8,10,9,5,0,1,6,3,1,6,6,3,10,3,7,5,1,10,6,3,10,6,5,1,1,3,6,4,7,1,3,3,1,1,5,8,0,4,3,3,5,4,1,2,2,4,7,5,5,1,0,3,8,9
2020-08-07,3,9,10,3,8,2,10,6,9,10,5,5,9,0,9,2,1,8,0,8,0,3,4,8,10,8,6,10,8,2,8,1,7,6,6,10,8,9,9,0,8,4,2,8,4,9,7,8,9,3,1,6,3,1,4,0,8,9,10,8,10,1,6,5,1,1,6,8,4,5,9,8,7,7,7,8,8,0,5,8,0,1,10,9,2,8,10,6,3,7,3,3,8,6,9,10
2020-08-08,2,3,3,10,10,4,6,8,0,5,5,1,6,1,3,7,9,9,3,8,5,2,1,10,10,10,2,0,1,3,6,7,7,0,3,10,8,6,5,8,0,7,4,6,4,4,10,1,10,4,2,6,9,0,9,5,1,2,8,10,1,2,10,5,2,0,2,8,0,10,8,1,7,10,0,9,5,0,1,10,5,6,7,0,1,0,3,10,5,5,8,1,6,2,5,10
2020-08-09,9,6,3,2,0,7,8,10,10,0,2,9,8,3,0,3,2,8,1,5,3,8,4,0,0,1,5,4,10,5,7,4,8,3,1,2,6,9,7,9,3,4,0,4,7,5,10,9,3,3,6,3,6,5,5,2,10,8,9,2,2,2,3,10,9,9,9,0,6,6,2,0,1,1,4,1,9,8,3,2,8,9,7,9,1,3,4,3,4,10,1,0,1,5,4,5
2020-08-10,2,8,1,7,9,2,2,8,4,1,10,10,7,4,1,6,7,10,5,5,7,6,5,3,5,6,0,6,6,0,4,10,9,8,7,3,2,9,9,0,5,7,2,2,5,5,2,9,2,5,4,4,2,3,3,10,6,8,7,9,1,6,8,5,9,6,7,8,7,7,5,3,1,10,7,5,5,7,0,5,8,0,8,8,4,2,8,8,0,8,9,10,1,0,6,9
2020-08-11,4,5,10,3,6,10,1,6,0,2,10,1,4,2,10,0,2,10,4,3,3,0,3,4,1,3,4,0,2,10,7,10,6,6,0,10,4,2,0,5,3,2,3,8,5,6,7,8,8,3,5,4,4,9,1,4,3,9,6,1,8,5,3,2,5,2,7,5,8,8,8,10,2,9,7,2,2,8,3,8,10,2,0,8,9,7,2,8,8,1,4,8,10,8,7,1
2020-08-12,4,1,7,9,5,7,8,1,9,1,9,7,3,3,4,5,5,9,7,0,6,2,6,6,10,1,6,8,9,1,0,2,7,7,3,0,7,3,8,8,10,6,1,6,7,7,1,7,10,4,1,3,2,7,5,9,4,5,1,6,2,3,7,4,4,6,7,9,3,2,0,4,5,8,3,10,2,10,4,4,8,6,1,5,7,1,3,7,10,1,10,7,8,9,7,7
2020-08-13,5,9,3,3,9,6,1,5,9,2,5,7,2,4,0,9,3,8,5,5,5,4,7,2,4,0,0,8,0,8,1,9,6,0,3,2,10,6,6,10,4,2,4,5,5,2,4,1,8,7,5,1,3,5,5,2,4,3,6,3,0,1,6,3,3,3,10,1,0,4,9,8,10,1,6,2,0,3,1,4,3,2,8,10,2,2,0,6,10,8,6,4,1,5,2,4
2020-08-14,6,8,6,8,8,9,2,4,1,8,7,1,9,4,7,8,1,8,10,10,4,7,5,3,1,7,7,7,0,10,10,5,6,6,6,6,3,10,5,9,1,2,0,8,2,0,4,6,0,0,3,4,7,5,5,2,0,5,1,6,7,8,5,0,9,10,0,7,2,6,6,9,3,0,10,5,3,4,6,9,9,3,6,8,8,6,8,1,9,2,8,5,0,5,5,3
2020-08-15,3,3,10,7,7,7,5,7,10,2,9,4,4,0,10,10,0,7,8,3,7,1,7,2,10,7,5,5,6,6,0,3,5,3,3,9,4,2,6,6,8,1,1,3,2,0,2,9,3,7,8,6,4,4,2,6,2,4,2,10,8,4,2,10,2,10,1,10,0,4,7,9,3,3,1,3,0,3,7,1,8,0,9,0,1,9,4,6,1,1,2,3,1,6,6,7
2020-08-16,1,2,5,9,10,10,0,10,4,7,2,8,7,5,4,5,3,8,1,8,5,6,10,1,0,7,4,4,3,10,2,8,10,10,2,3,7,8,2,10,4,9,6,9,9,1,9,5,4,4,7,7,1,1,7,0,3,10,6,1,6,3,4,9,2,3,6,10,0,1,5,1,10,1,2,6,8,8,1,10,6,2,1,8,0,1,9,2,7,10,5,8,0,10,0,7
2020-08-17,2,4,0,7,1,7,6,10,4,3,2,4,5,7,0,7,2,10,5,8,5,10,6,4,4,8,9,9,4,0,1,5,0,4,10,7,0,7,1,6,7,8,6,3,8,8,9,4,3,1,6,2,4,9,7,2,7,8,5,4,8,2,8,3,9,1,4,6,7,9,8,8,5,6,8,9,9,2,6,8,8,5,3,5,0,4,5,7,7,2,3,7,4,0,1,0
2020-08-18,7,8,8,3,8,6,6,9,8,3,4,6,4,0,1,0,3,5,6,8,1,6,5,5,5,7,1,6,6,5,0,1,6,6,2,10,9,4,3,0,0,4,3,1,1,0,9,9,5,6,6,8,4,1,4,2,9,9,0,9,5,6,4,4,1,0,5,6,10,2,2,0,7,7,2,9,9,3,10,1,0,5,2,10,4,2,3,9,9,3,8,7,9,6,2,5
2020-08-19,2,0,1,0,8,9,7,6,3,6,6,6,3,2,10,1,5,1,4,2,8,9,10,7,0,7,6,6,7,0,0,3,4,9,5,0,2,10,10,1,3,2,5,5,0,1,0,5,2,4,7,8,3,2,1,0,10,1,4,1,7,3,10,5,0,9,9,2,10,9,3,4,2,2,7,0,4,0,4,1,10,3,9,2,5,7,8,7,5,7,0,4,8,7,8,9
2020-08-20,6,10,6,2,10,10,7,7,1,1,9,4,6,5,0,9,5,2,2,6,6,8,7,6,2,10,8,6,6,5,8,6,6,3,10,6,4,5,5,7,3,2,9,7,5,7,5,5,5,9,2,0,2,0,8,1,9,5,1,4,5,2,9,9,10,0,0,4,3,10,10,3,7,2,8,5,1,9,2,7,2,6,8,6,0,7,5,10,6,0,3,3,7,7,10,1
2020-08-21,8,6,3,2,6,4,3,7,6,8,5,3,10,7,9,6,1,5,3,7,7,2,1,9,9,0,6,4,8,8,10,0,0,6,7,0,0,7,3,8,6,10,2,2,0,10,0,3,8,8,3,7,0,4,6,4,0,2,8,6,3,2,1,0,0,0,0,8,0,4,10,3,6,6,4,8,3,6,8,0,2,4,0,3,1,6,3,9,4,8,6,1,9,2,10,1
2020-08-22,2,1,8,1,5,0,7,1,10,1,4,1,1,0,1,7,7,6,4,1,7,2,6,9,7,9,3,9,0,1,5,7,3,5,7,8,0,2,0,9,8,10,10,3,7,3,2,0,1,1,10,10,4,4,3,6,9,0,9,7,4,8,3,8,6,9,2,6,1,8,8,7,1,0,10,1,3,10,7,4,1,5,1,4,1,2,1,3,2,0,4,8,8,9,10,0
2020-08-23,4,4,4,0,10,2,10,7,10,5,0,0,7,4,3,10,8,7,10,1,1,0,3,3,4,0,2,5,4,8,3,2,7,3,2,9,4,1,9,1,4,3,9,0,9,6,7,6,5,10,4,2,4,1,3,8,10,1,10,4,8,6,1,1,0,2,4,4,10,1,0,2,1,2,2,8,10,4,10,10,10,10,2,6,5,2,10,7,9,9,1,3,2,3,10,1
2020-08-24,3,0,7,6,1,8,0,7,3,10,4,1,2,9,7,1,5,7,10,1,1,7,1,4,0,9,3,4,3,10,6,4,3,0,1,2,0,6,8,5,1,5,6,7,1,4,2,1,1,8,9,1,4,0,9,1,4,7,8,4,6,2,3,6,3,9,9,6,1,1,1,1,9,7,3,5,5,3,3,9,3,7,9,8,4,4,4,0,8,1,2,5,2,6,2,6
2020-08-25,5,1,5,3,2,1,9,4,9,1,9,9,6,2,9,2,6,1,7,4,8,0,4,8,2,1,2,4,6,0,3,8,8,10,7,2,3,8,3,1,5,10,1,6,1,3,9,9,10,0,8,5,1,5,3,3,10,2,1,5,3,10,5,3,6,9,4,9,6,7,1,9,4,10,5,6,10,6,0,1,2,10,3,8,1,7,9,10,1,1,9,7,1,1,9,5
2020-08-26,3,4,2,4,1,10,8,4,3,5,4,2,10,9,4,8,9,8,2,10,5,8,2,6,7,5,2,5,8,7,3,3,10,7,1,5,6,5,2,5,2,0,7,1,9,7,4,8,10,9,1,7,9,1,7,0,0,9,1,8,8,1,6,8,7,9,0,1,6,7,6,4,6,5,10,3,2,9,5,10,2,6,5,0,10,9,5,9,3,7,3,9,1,6,1,2
2020-08-27,2,7,3,1,6,1,6,7,7,10,7,10,0,7,7,0,9,3,2,1,2,0,0,1,0,6,0,6,4,3,8,7,0,1,10,6,0,1,2,2,4,9,1,3,10,3,8,6,3,10,7,0,4,4,3,6,9,1,0,10,2,7,4,1,6,6,0,1,7,5,9,4,10,2,1,6,3,10,2,5,9,8,0,3,3,5,4,10,10,7,4,2,6,1,7,10
2020-08-28,0,3,10,0,0,1,8,9,3,10,4,6,3,10,0,7,3,0,8,4,0,6,6,0,3,0,2,9,6,2,2,1,5,2,0,1,7,0,1,4,2,2,9,7,10,3,4,10,10,3,9,7,4,4,5,7,1,2,0,8,4,0,7,5,0,9,2,1,7,3,6,2,10,6,6,2,6,8,4,6,4,4,8,6,0,0,7,4,1,9,1,9,5,0,3,10
2020-08-29,6,5,1,3,6,6,7,7,9,1,2,2,0,5,5,6,7,5,3,10,2,6,8,8,3,8,6,10,5,5,8,0,10,4,1,10,8,8,1,6,6,8,10,5,6,0,4,5,6,9,3,6,10,7,7,3,2,0,0,1,1,2,0,9,2,10,5,2,6,6,1,3,6,1,2,0,7,3,10,3,9,5,1,2,9,7,3,3,6,8,5,1,6,8,0,1
2020-08-30,7,2,1,2,8,5,8,5,5,6,2,3,2,0,3,7,1,6,2,2,5,9,2,5,2,4,4,4,6,9,7,5,3,0,3,8,0,1,2,2,10,5,7,3,10,9,5,2,6,5,1,2,9,8,3,4,6,4,2,4,7,8,5,8,10,4,1,8,4,2,5,8,3,6,9,8,1,9,2,7,1,8,9,6,4,6,10,1,1,4,5,5,8,4,2,10
2020-08-31,6,0,2,3,7,6,2,0,7,10,2,8,5,2,0,2,5,5,0,10,7,0,0,8,9,3,5,0,8,5,5,2,2,1,7,8,10,3,8,10,7,3,5,6,7,8,0,4,1,2,2,10,7,1,7,7,7,10,9,9,7,9,6,3,2,4,1,6,5,3,10,3,9,9,2,7,4,2,9,10,7,0,4,3,4,4,8,4,8,1,7,10,6,6,9,2
